feature, label
neut,앙크루트스프는 꼭 하나씩 담아주셔야 하는 거 아시죠?
comp,저 위에 올라간 빵이 요즘 유행하던 천겹 토스트 느낌이 나서 바삭 촉촉하고 스프에 찍어 먹으면 정말.. 정말 맛있습니다.
neut,인기가 상당히 많아서 타이머가 올려져 있는데 저 타이머 간격대로 새로 채워주신다고 하니 시간 맞춰서 따끈한 앙크루트스프 드세요!
comp,요 찐빵은 동물 캐릭터로 만든 찐빵인데 비주얼이 너무너무 귀엽더라고요..
comp,아기들 접시에 하나 담아주면 너무 좋아할 것 같았어요.
neut,1차로 담아온 메뉴들입니다.
comp,초밥을 종류별로 한 접시를 꽉 채웠는데도 다 못 담아 온 거예요..!!!
comp,초밥 종류가 정말 어마어마하게 많아서 다 못 보여드리는 게 아쉬울 정도 ㅠㅠ
comp,모든 메뉴들이 평타 이상 상까지 가는 보장된 맛입니다.
comp,친구가 대구 뷔페 맛집 추천으로 쿠우쿠우를 왜 그렇게 외쳤는지 알 수 있었어요. ㅋㅋㅋㅋ
comp,닭강정도 촉촉하고 파는 치킨 맛이고 돼지 모양 찐빵이 너무 귀여워서 하나 가져왔는데 속에 팥이 가득 차있어서 생각보다 맛있습니다.4
neut,2차는 디저트를 먹으러 가야죠.
comp,대구 뷔페 맛집 쿠우쿠우는 디저트까지 진심인 곳이에요.
comp,갓 구워낸 와플과 초코 퐁듀 팥빙수 젤라또 아이스크림까지 없는게 없습니다..!
neut,신기한 게 머핀 옆에 국화빵도 같이 구워서 올라가 있더라고요. 
comp,갓 구워내어 따끈따끈하니 꼭 드셔보시는 거 추천드려요! 
neut,디저트도 한금 가져온 임꿀.. 
comp,이날 하루 만에 몸무게가 2KG 쪘더라고요..?
comp,하지만 후회는 없습니다.
comp,정말 다양하고 많이 맛있게 먹은 주말디너였어요.
neut,대구 초밥 뷔페 맛집 쿠우쿠우 수성못점을 주말디너로 다녀왔어요. 
neut,주말디너라서 웨이팅이 있었지만 테이블링 어플을 이용해서 편하게 대기할 수 있었고 수성호텔 주차장을 이용해서 주차 걱정도 없이 편하게 먹을 수 있었습니다.
comp,초밥과 모든 메뉴들의 종류가 상당히 많아서 정말 1시간 30분이 부족하다 느낄 정도로 맛있게 먹고 왔습니다.
comp,여러분도 대구 뷔페 맛집 찾으신다면 쿠우쿠우 수성못점 추천드려요!
neut,안녕하세요
neut,삼백여든세 번째 먹부림 포스팅을 할게요.
neut,삼백여든세 번째 포스팅은 제주 구좌읍에 있는 "소금바치 순이네" 입니다.
comp,제주 여행 2일차 아침으로 간 소금바치 순이네 네이버 폭풍검색으로 아주 맛있다고 호평이 있어 준터리도 한 번 먹부림 하러 찾아갔어요!
neut,간판은 아주 초심플하게 쪼꼬미로 적혀 있고 그 옆에 메뉴와 전화번호가 적혀 있더라고요!
neut,이런 간판은 생전 처음 본 준터리 신기방기
neut,가게 옆에는 문어 그림과 전복 그림이 그려져 있어서 한 번 찰칵! 
neut,찍어봤어요! 
comp,누가 그렸는지 모르겠지만 잘 그렸죠
comp,그림 실력 대단쓰
comp,주차장도 가게 앞에 넓게 있어서 주차 걱정은 하지 않고 가셔도 무방하다는 점! 
neut,준터리는 거의 오픈 하자마자 간 상태라서 아직 차들이 별로 없었는데 밥 먹고 나오니 거의 만차가 될 정도로 사람들이 많이 찾는 곳이더라고요
neut,주차를 한 후 소금바치 순이네 가게 안으로 들어가는 도중 문에서 딱 발견한 블루리본
comp,제주 맛집 소금바치 순이네도 블루리본이 연속 2021년부터 2024년 지금까지 쭉 이어지고 있는 찐 맛집이였어요! 
comp,믿고 가는 제주 맛집!
neut,내부는 이렇게 아래에는 신발을 신고 바로 앉아서 먹는 입식과 위에는 신발을 벗고 먹는 좌식으로 나뉘어져 있으며 17개 테이블이 있어 단체손님들도 오셔 식사를 하실 수 있는 넓은 공간의 소금바치 순이네라는 거
neut,준터리는 편하게 신발을 벗고 나서 좌식으로 되어진 테이블에 앉아서 밥을 먹었습니다아!
comp,그리고 한켠에는 아기 의자도 준비가 되어져있어 아기랑 와서 식사도 하실 수가 있다는 거
neut,오늘 준터리가 소금바치 순이네에서 먹은 메뉴
neut,돌문어볶음(소) ₩30000원
neut,옥돔구이 ₩25000원
neut,공기밥 4개 ₩4000원
neut,아침이라서 간단하게(?) 이렇게 주문이요!
neut,주문을 하고 주변을 살펴보는데 주문한 메뉴 돌문어볶음 맛있게 드시는 방법이 있더라고요
neut,1. 홍합껍데기를 추려낸다
neut,2. 깻잎과 소면을 잘 섞는다
neut,팁! 남은 밥도 비벼서 먹으면 맛있다
neut,그렇게 기다리고 있는데 주방 쪽에서 열심히 불쇼(?)와 함께 돌문어볶음을 만들어 주시고 계시더라고요! 
comp,그래서 한 번 사진찍어 봤어요!
neut,그렇게 불쇼를 관전하며 기다리고 있으면 기본 반찬 세팅을 정갈하게 해주십니다!
neut,콩나물무침 김치 전 번행초(?) 장아찌
neut,오뎅볶음을 내어 주셨는데 생소한게 있죠!
neut,오잉 번행초? 그게 뭐지 싶어서 보니깐!
neut,해열 해독 소종의 효능이 있으며 위와 심장병에 아주 탁월한 효과가 있는 하튼 좋은 거래요!!
neut,처음에 준터리는 그냥 시금치인줄 알았던
neut,번행초를 정독하고 있으니 드디어 나온 메인 돌문어볶음!
comp,깻잎이 가득하게 올려져 나왔죠!
neut,아까 돌문어볶음 맛있게 먹는 방법처럼 먼저 안에 있는 홍합은 냅두고 껍데기를 추려냈어요
neut,그리고 소면과 깻잎 그리고 돌문어를 함께 쉐키쉐키 비벼주었습니다! 
comp,소면 양도 푸짐!
comp,돌문어도 아주 큼지막하게 많이 들어가 있으며 식감이 아주 쫄깃하고 질기 않아요! 
comp,부드럽고 무엇보다 불향이 장난아니게 대박! 
comp,맛있다!
neut,뒤 이어서 나온 옥돔구이! 
comp,제주도 와서 계속 고등어만 먹어서 옥돔구이도 먹어봤는데 맛도리였다는 거! 
neut,뭔들 준터리는 다 맛있지
comp,그렇게 밥 한공기... 밥 두공기.. 밥 세그릇을 순삭
comp,음식이 맛있으니깐 밥이 꿀맛이네
comp,아까 팁으로 남은 밥도 돌문어볶음에 비벼서 먹음 맛있다고 해서 준터리도 실행에 옮겼어요
comp,역시나 맛없없! 맛이 없을 수가 없다아
comp,상수역 쪽에서 가깝고 맛있는 혼밥이 하고 싶거나 마제소바 비빔라멘 스타일이 땡기면 추천하고 싶은곳이 칸다소바 이다. 
neut,상수역 1번출구에서 극동방송 쪽으로 걸어서 100미터후 좌회전으로  걸어서 5분안으로 갈수있다. 
neut,차량 가지고 가신다고 하면 가게 바로옆에 기계식 주차하는곳이 있어서 그곳에 유료로 주차도 가능하다. 
neut,대단한 홍대맛집 임을 상징하는 현수막이 걸려있고 점심시간이나 저녁시간에 웨이팅은 기본인데 기본적으로 회전율이 빨라서 10분 이내에는 자리가 나는것 같다.
neut,요즘 거의 이렇게 기계로 주문을 하는데 대표 메뉴인 마제소바 아부라소바 이렇게 있다. 
neut, 하나씩 주문하여 맛보기로 결정. 
comp,상수역 맛집으로서 기대가 된다. 
neut,혼밥도 가능하기때문에 일본식으로 쭈욱 자리들이 나있고 그렇게 자리가 나는데로 앉아서 기다리면 된다. 
comp,주문하고 약 5~7분안에 나왔던것 같다. 
comp,그냥 먹는것도 맛은 있겠지만 맛있게 먹기 위한 방법까지 친절하게 알려주는 칸다소바. 
neut,마제소바는 다 먹고 공기밥도 제공해주고 비벼먹는것을 추천하는듯 하다. 
neut,아부라소바는 매운맛을 더 느끼기 위해 고추기름 다대기 다시마식초를 더 조미해서 먹는것을 추천하는것 같다. 
neut,요렇게 다양한 기호에 맞게 조미료?가 준비되어 있으니 잘 넣어서 더 맛있게 먹으면 된다
neut,짠 보기좋게 음식이 나왔다. 
neut,잘 비벼서 맛을 음미하면서 먹어보자! 
neut,면요리 이다보니 맵기 조절도 중요한거 같다.
crit,생면을 사용하는것 같은데 그래서 인지 면추가 혹은 곱배기가 없어서 조금 아쉬운거 같다. 
crit,공기밥으로 아쉬움을 달래야 할것같다. 
comp,보기도 좋고 먹음직 스럽고 홍대라멘 중에서 원탑이지 않을까? 생각이 든다. 
neut,맛있게 비벼서 먹어보자. 
comp,면발은 조금 두툼한 편인데 얇은 소면보다는 중면 우동면 느낌이 개인적으로는 더 좋은것 같다.
comp,아부라소바도 영롱한 자태를 드러냈고 계란노른자 까지 캬~ 맛있어 보이는 비주얼이다. 
neut,요렇게 잘 비벼서 맛있게 먹으면 되고 음미해보자 
comp,맛집은 기다리는 맛인데 이곳은 웨이팅도 금방 빠지고 그점도 장점인거 같다. 
comp,함께하며 그 맛에 대해 나누는것이 너무 좋은곳 같다. 
neut,고추기름을 몇 방울을 떨어뜨려서 더 자극적이고 조금은 매콤?한 맛을 내고자 노력해 봤다. 
comp,노른자 때문인지 더 매끈해져서 식감이 좋아졌고 면발도 직접 만드는것인지 맛이 일품이었다. 
comp,식사를 마치고 깔끔하게 정돈된 주방도 좋았고 좌석은 15~20석 정도인것 같은데 정리정돈이 잘되고 친절한편 이어서 금방 먹을수 있지만 편안한 느낌을 좀 받았다. 
comp,요즘 처럼 일본에 갈수 없고 일본에서 먹는 정도의 퀄리티의 라멘을 느끼고자 한다면 홍대 그리고 칸다소바를 추천한다. 
neut,요즘 비가 엄청 내리고 있는데 다들 무사히 잘 지내고 계시죠?
neut,저는 이런 날씨에는 따뜻하고 얼큰한 김치찌개가 너무나 생각이 나는데
neut,친구가 고촌맛집을 소개 해주더라고요
comp,그래서 바로 방문했는데 와 정말 너무 맛있고 칼칼해서 우리 이웃님들에게 바로 소개를 해볼게요
comp,고촌맛집 한솥부뚜막은 고촌역에서도 가까워서 찾기도 정말 편하더라고요
neut,일단 딱 매장에 들어가면 깔끔한 테이블과 친절한 직원분들이 반갑게 맞이 해주시고 자리를 안내해주시고
neut,딱 한국인이라면 누구나 좋아하는 메뉴를 판매를 하고 있었어요
neut,여기서 잠깐 저를 또 매료 시킨 부분이 있지요
comp,바로 이 어마어마한 반찬종류!! 총  8가지 이상의 반찬을 사장님이 직접 매일매일 만든다는 사실! 반찬 하나하나 아삭아삭하고 깔끔해서 얼마나 맛있게 먹었는지 몰라요
comp,비범이라도 전수를 받고 싶을 정도였어요
comp,딱 먹을만큼 준비해서 칼칼하고 얼큰하고 달달하면서도 고기도 듬뿍들어간 김치찌개와 같이 먹으면
comp,와 세상 얼마나 맛있게요!!
comp,사장님한테 비법을 전수 받고 싶을 만큼 진짜 맛있었던 고촌맛집 한솥부뚜막!
comp,꼭 한번 들리셔서 엄마의 손맛을 느껴보세요!!
neut,이 글은 소정의 원고료를 받아 작성하였습니다
